rawQuestion,rawAnswer
"מהו סוג הארגון אשר בונה מטוסי כיבוי?
 
1.   נגרות
 
2.   שירות
 
3. ייצור
 
4. עיצוב
 
 .",3
"חיים מנהל חברה גדולה. יום אחד נפגעה קשות חברתו, בעקבות נזק שקרה במערכות המידע. מה ייתכן שגרם לנזק במערכות המידע בחברתו של חיים?
 
1. כל התשובות נכונות
 
2.   אחד מעובדיו גנב מידע
 
3.   נשרפו המשרדים, נגרם נזק פיזי
 
4.   אחד מעובדיו לחץ בטעות על קישור מזיק
 
 .",1
"מנכ״ל חברת מקדונלדס אחראי על סניפי החברה, החברה משתמשת במערכות מידע, כדי לאסוף את כל הנתונים הנוגעים להתפתחות החברה מה הייתם מציעים למנכ״לֹ לעשות כדי לאסוף את הנתונים ההכרחיים.
 
1.   להשתמש במחסן הנתונים שמופק ממערכת ניהול בסיסי הנתונים, ולעבוד לפיכך
 
2.   להגיע אישית לכל סניף לאסוף את הנתונים
 
3.   לקבל דיווח אישי על פי דעתו של כל מנהל סניף
 
4.   להשתמש בשליחים שיביאו את בסיסי הנתונים למטה המרכזי של החברה
 
 .",1
"מהו סוג הארגון אשר בונה מטוסי כיבוי?
 
1. ייצור
 
2.   נגרות
 
3. עיצוב
 
4.   שירות
 
 .",1
"באיזו דרך מתקשרים בסיס נתונים ותוכנה?
 
1.   בפרוטוקל תקשורת
 
2. עברית
 
3.   מורס
 
4.   לטינית
 
 .",1
"בחר/י בתשובה הנכונה
 
1.   מודל 'מפל המים' הוא מודל מסודר, המחלק את הפרויקט לחלקים. במודל תמיד עובדים לפי הסדר ואי אפשר לעבור לשלב הבא לפני שהנוכחי נחתם ע'י הגורמים האחראיים *
 
2.   במודל 'מפל המים' ניתן לשנות את הדרישות מהמוצר תוך כדי התהליך בקלות ובלי כל תהליך מיוחד
 
3.   פרויקט בניה מזכיר פרויקט תוכנה בהיבט הסיכוי שלו להצליח
 
4.   מודל 'מפל המים' הוא המודל הנפוץ ביותר כיום עקב גמישותו לשינויים
 
 .",1
"מהי מערכת המלצה?
 
1.   מערכת המסייעת לארגון יעיל של זכרון המחשב
 
2.   מערכת המנפיקה הצעות ייעול לתפקוד המחשב
 
3.   מערכת הממליצה למחשב באיזה סוג פרוטוקול להשתמש
 
4.   מסייעת למשתמשים על ידי מתן הצעות למוצרים או תוכן שעשויים להיות מעניינים עבורם
 
 .",4
"בחרו איזה מהבאים מתאר מחשב הכי רזה:
 
1.  iPad 11 pro
  
2.  טלוויזיה Samsung HP
  
3.  שעון חכם
  
4.  מחשב נייד
  
 .",3
"תומר קנה פלאפון חדש, הוא החליט שהוא קונה את הפלאפון הכי שמן בחדר, לעומת תומר לאיתן יש פלאפון ישן ורזה, אצל מי אפליקציית פייסבוק תעבוד בגרסה הכי טובה
 
1.   אצל איתן
 
2.   לא ניתן לדעת *
 
3.   אצל שניהם האפליקצייה תעבוד אותו הדבר
 
4.   אצל תומר
 
 .",1
"מהו סוג הארגון אשר בונה מטוסי כיבוי?
 
1.   נגרות
 
2. עיצוב
 
3.   שירות
 
4. ייצור
 
 .",4
"מהו סוג הארגון אשר בונה מטוסי כיבוי?
 
1. ייצור
 
2.   שירות
 
3.   נגרות
 
4. עיצוב
 
 .",1
"מהו המודל של פיתוח התוכנה הנפוץ והפופולרי ביותר כיום?
 
1. Agile
 
2. Firewall
 
3. מודל הספירלה
 
4. RAD
 
 .",1
"חיים מנהל חברה גדולה. יום אחד נפגעה קשות חברתו, בעקבות נזק שקרה במערכות המידע. מה ייתכן שגרם לנזק במערכות המידע בחברתו של חיים?
 
1.   אחד מעובדיו לחץ בטעות על קישור מזיק
 
2.   נשרפו המשרדים, נגרם נזק פיזי
 
3. כל התשובות נכונות
 
4.   אחד מעובדיו גנב מידע
 
 .",3
"פוטנציאל קיבולת ההעברה מאפיין את רוחב הסרט, ככל שרוחב הפס גדול יותר:
 
1. ניתן להעביר כמות גדולה של נתונים בקצב גבוהה.
 
2. המקלט עלול לפענח את המידע באופן פחות נאמן.
 
3. המידע העובר בו זמין יותר.
 
4. המחיר זול יותר.
 
 .",1
"סיסמא, כרטיס זיהוי, טביעת אצבע וחתימה הם דוגמאות ל:
 
1.   אבטחה פיסית
 
2.   בקרת גישה
 
3.   אבטחת תקשורת
 
4.   אבטחת תוכנה
 
 .",2
"תוכנת Waze היא בין השאר TPS (Transaction Processing System). איזה מידע תפעולי היא אוספת:
 
1.  דיווחי המשתמש בדרך (דיווח על עומסים, תאונות, ועוד)
 
2.  מיקום המשתמש בכל X שניות
 
3.  כל התשובות נכונות
 
4.  היסטורית חיפושים של המשתמש
 
 .",3
"מהו סוג הארגון אשר בונה מטוסי כיבוי?
 
1. ייצור
 
2.   שירות
 
3.   נגרות
 
4. עיצוב
 
 .",1
"AGLIE הוא
 
1.   מודל פיתוח תוכנה שמתנהל לפי רשימת דרישות נושמת שמשתנה כל הזמן
 
2.   מערכת בסיס נתונים
 
3.   אף תשובה אינה נכונה
 
4.   מודל פיתוח תוכנה מיושן, אינו בר שימוש כיום.
 
 .",1
"אילו מערכות מידע אנו צפויים לראות בדרג האסטרטגי?
 
1. MIS
 
2. ERP
 
3. ESS
 
4. DSS
 
 .",3
"מה האינטרס של מפתחים לפתח לקוח שמן?
 
1. פיתוח לקוח שמן זול יותר מפיתוח לקוח רזה
 
2. תוכנה שעובדת כלקוח שמן תרוץ מהר יותר על מחשב המשתמש
 
3. לוקח פחות זמן לכתוב תוכנה שעובדת כלקוח שמן
 
4. לקוח שמן לא צריך חיבור אינטרנט מה שמבטיח שירוץ גם במצבים שאין בהם קליטה
 
 .",2
"מהו שדה מפתח ראשי?
 
1.   מזהה חד חד ערכי של רשומה ביחס לרשומות אחרות
 
2.   למעשה זהו שם אחר לשדה מפתח זר
 
3. כל התשובות לא נכונות
 
4.   אוסף של תווים או מספרים
 
 .",1
"באיזה סוג של זיכרון אין אפשרות לעדכן את המידע שעליו?
 
1. DRAM
 
2. SRAM
 
3. ROM
 
4. RAM
 
 .",3
"במאמר IT doesn’t matter נטען ש:
 
1. אם לכולם יש מערכות מידע, חשוב מאוד שגם לחברה שלכם יהיו מערכות מידע
 
2. מערכת מידע אינן חשובות
 
3. למרות הכל, מערכות מידע הן הדרך הטובה ביותר להשיג ייתרון אסטרטגי על פני אחרות
 
4. מערכות מידע אינן יכולות לספק ייתרון תחרותי לאורך זמן 
 
 .",1
"מהו המודל של פיתוח התוכנה הנפוץ והפופולרי ביותר כיום?
 
1. Agile
 
2. מודל הספירלה
 
3. Firewall
 
4. RAD
 
 .",1
"AGLIE הוא
 
1.   מערכת בסיס נתונים
 
2.   אף תשובה אינה נכונה
 
3.   מודל פיתוח תוכנה שמתנהל לפי רשימת דרישות נושמת שמשתנה כל הזמן
 
4.   מודל פיתוח תוכנה מיושן, אינו בר שימוש כיום.
 
 .",3
"מה המבאים יהיה שדה המפתח הטוב ביותר ברשימת לקוחות?
 
1.   תאריך הקנייה הראשון של הלקוח מהסוף להתחלה
 
2.   מספר ת""ז
 
3.   תאריך לידה
 
4.   שם פרטי + שם משפחה
 
 .",2
"מנכ״ל חברת מקדונלדס אחראי על סניפי החברה, החברה משתמשת במערכות מידע, כדי לאסוף את כל הנתונים הנוגעים להתפתחות החברה מה הייתם מציעים למנכ״לֹ לעשות כדי לאסוף את הנתונים ההכרחיים.
 
1.   להגיע אישית לכל סניף לאסוף את הנתונים
 
2.   להשתמש בשליחים שיביאו את בסיסי הנתונים למטה המרכזי של החברה
 
3.   לקבל דיווח אישי על פי דעתו של כל מנהל סניף
 
4.   להשתמש במחסן הנתונים שמופק ממערכת ניהול בסיסי הנתונים, ולעבוד לפיכך
 
 .",4
"בחר/י בתשובה הנכונה
 
1.   פרויקט בניה מזכיר פרויקט תוכנה בהיבט הסיכוי שלו להצליח
 
2.   מודל 'מפל המים' הוא המודל הנפוץ ביותר כיום עקב גמישותו לשינויים
 
3.   במודל 'מפל המים' ניתן לשנות את הדרישות מהמוצר תוך כדי התהליך בקלות ובלי כל תהליך מיוחד
 
4.   מודל 'מפל המים' הוא מודל מסודר, המחלק את הפרויקט לחלקים. במודל תמיד עובדים לפי הסדר ואי אפשר לעבור לשלב הבא לפני שהנוכחי נחתם ע'י הגורמים האחראיים *
 
 .",4
"איך יכול להיגרם נזק לחברה מגורם אנושי פנימי?
 
1.   שפיכת קפה על השרת של החברה
 
2.   כניסה למייל זדוני
 
3.   דיווח על טכנולוגיות לחברה מתחרה
 
4.   כל התשובות נכונות
 
 .",4
"מנכ״ל חברת מקדונלדס אחראי על סניפי החברה, החברה משתמשת במערכות מידע, כדי לאסוף את כל הנתונים הנוגעים להתפתחות החברה מה הייתם מציעים למנכ״לֹ לעשות כדי לאסוף את הנתונים ההכרחיים.
 
1.   להשתמש בשליחים שיביאו את בסיסי הנתונים למטה המרכזי של החברה
 
2.   להשתמש במחסן הנתונים שמופק ממערכת ניהול בסיסי הנתונים, ולעבוד לפיכך
 
3.   לקבל דיווח אישי על פי דעתו של כל מנהל סניף
 
4.   להגיע אישית לכל סניף לאסוף את הנתונים
 
 .",2
