Question,Answer
"מהו סוג הארגון אשר בונה מטוסי כיבוי?
 
1.   נגרות
 
2.   שירות
 
3. ייצור
 
4. עיצוב
 
 .",3
"חיים מנהל חברה גדולה. יום אחד נפגעה קשות חברתו, בעקבות נזק שקרה במערכות המידע. מה ייתכן שגרם לנזק במערכות המידע בחברתו של חיים?
 
1. כל התשובות נכונות
 
2.   אחד מעובדיו גנב מידע
 
3.   נשרפו המשרדים, נגרם נזק פיזי
 
4.   אחד מעובדיו לחץ בטעות על קישור מזיק
 
 .",1
"מנכ״ל חברת מקדונלדס אחראי על סניפי החברה, החברה משתמשת במערכות מידע, כדי לאסוף את כל הנתונים הנוגעים להתפתחות החברה מה הייתם מציעים למנכ״לֹ לעשות כדי לאסוף את הנתונים ההכרחיים.
 
1.   להשתמש במחסן הנתונים שמופק ממערכת ניהול בסיסי הנתונים, ולעבוד לפיכך
 
2.   להגיע אישית לכל סניף לאסוף את הנתונים
 
3.   לקבל דיווח אישי על פי דעתו של כל מנהל סניף
 
4.   להשתמש בשליחים שיביאו את בסיסי הנתונים למטה המרכזי של החברה
 
 .",1
"באיזו דרך מתקשרים בסיס נתונים ותוכנה?
 
1.   בפרוטוקל תקשורת
 
2. עברית
 
3.   מורס
 
4.   לטינית
 
 .",1
"בחר/י בתשובה הנכונה
 
1.   מודל 'מפל המים' הוא מודל מסודר, המחלק את הפרויקט לחלקים. במודל תמיד עובדים לפי הסדר ואי אפשר לעבור לשלב הבא לפני שהנוכחי נחתם ע'י הגורמים האחראיים *
 
2.   במודל 'מפל המים' ניתן לשנות את הדרישות מהמוצר תוך כדי התהליך בקלות ובלי כל תהליך מיוחד
 
3.   פרויקט בניה מזכיר פרויקט תוכנה בהיבט הסיכוי שלו להצליח
 
4.   מודל 'מפל המים' הוא המודל הנפוץ ביותר כיום עקב גמישותו לשינויים
 
 .",1
"מהי מערכת המלצה?
 
1.   מערכת המסייעת לארגון יעיל של זכרון המחשב
 
2.   מערכת המנפיקה הצעות ייעול לתפקוד המחשב
 
3.   מערכת הממליצה למחשב באיזה סוג פרוטוקול להשתמש
 
4.   מסייעת למשתמשים על ידי מתן הצעות למוצרים או תוכן שעשויים להיות מעניינים עבורם
 
 .",4
"בחרו איזה מהבאים מתאר מחשב הכי רזה:
 
1.  iPad 11 pro
  
2.  טלוויזיה Samsung HP
  
3.  שעון חכם
  
4.  מחשב נייד
  
 .",3
"תומר קנה פלאפון חדש, הוא החליט שהוא קונה את הפלאפון הכי שמן בחדר, לעומת תומר לאיתן יש פלאפון ישן ורזה, אצל מי אפליקציית פייסבוק תעבוד בגרסה הכי טובה
 
1.   אצל איתן
 
2.   לא ניתן לדעת *
 
3.   אצל שניהם האפליקצייה תעבוד אותו הדבר
 
4.   אצל תומר
 
 .",1
"מהו המודל של פיתוח התוכנה הנפוץ והפופולרי ביותר כיום?
 
1. Agile
 
2. Firewall
 
3. מודל הספירלה
 
4. RAD
 
 .",1
"פוטנציאל קיבולת ההעברה מאפיין את רוחב הסרט, ככל שרוחב הפס גדול יותר:
 
1. ניתן להעביר כמות גדולה של נתונים בקצב גבוהה.
 
2. המקלט עלול לפענח את המידע באופן פחות נאמן.
 
3. המידע העובר בו זמין יותר.
 
4. המחיר זול יותר.
 
 .",1
"סיסמא, כרטיס זיהוי, טביעת אצבע וחתימה הם דוגמאות ל:
 
1.   אבטחה פיסית
 
2.   בקרת גישה
 
3.   אבטחת תקשורת
 
4.   אבטחת תוכנה
 
 .",2
"תוכנת Waze היא בין השאר TPS (Transaction Processing System). איזה מידע תפעולי היא אוספת:
 
1.  דיווחי המשתמש בדרך (דיווח על עומסים, תאונות, ועוד)
 
2.  מיקום המשתמש בכל X שניות
 
3.  כל התשובות נכונות
 
4.  היסטורית חיפושים של המשתמש
 
 .",3
"AGLIE הוא
 
1.   מודל פיתוח תוכנה שמתנהל לפי רשימת דרישות נושמת שמשתנה כל הזמן
 
2.   מערכת בסיס נתונים
 
3.   אף תשובה אינה נכונה
 
4.   מודל פיתוח תוכנה מיושן, אינו בר שימוש כיום.
 
 .",1
"אילו מערכות מידע אנו צפויים לראות בדרג האסטרטגי?
 
1. MIS
 
2. ERP
 
3. ESS
 
4. DSS
 
 .",3
"מה האינטרס של מפתחים לפתח לקוח שמן?
 
1. פיתוח לקוח שמן זול יותר מפיתוח לקוח רזה
 
2. תוכנה שעובדת כלקוח שמן תרוץ מהר יותר על מחשב המשתמש
 
3. לוקח פחות זמן לכתוב תוכנה שעובדת כלקוח שמן
 
4. לקוח שמן לא צריך חיבור אינטרנט מה שמבטיח שירוץ גם במצבים שאין בהם קליטה
 
 .",2
"מהו שדה מפתח ראשי?
 
1.   מזהה חד חד ערכי של רשומה ביחס לרשומות אחרות
 
2.   למעשה זהו שם אחר לשדה מפתח זר
 
3. כל התשובות לא נכונות
 
4.   אוסף של תווים או מספרים
 
 .",1
"באיזה סוג של זיכרון אין אפשרות לעדכן את המידע שעליו?
 
1. DRAM
 
2. SRAM
 
3. ROM
 
4. RAM
 
 .",3
"במאמר IT doesn’t matter נטען ש:
 
1. אם לכולם יש מערכות מידע, חשוב מאוד שגם לחברה שלכם יהיו מערכות מידע
 
2. מערכת מידע אינן חשובות
 
3. למרות הכל, מערכות מידע הן הדרך הטובה ביותר להשיג ייתרון אסטרטגי על פני אחרות
 
4. מערכות מידע אינן יכולות לספק ייתרון תחרותי לאורך זמן 
 
 .",1
"מה המבאים יהיה שדה המפתח הטוב ביותר ברשימת לקוחות?
 
1.   תאריך הקנייה הראשון של הלקוח מהסוף להתחלה
 
2.   מספר ת""ז
 
3.   תאריך לידה
 
4.   שם פרטי + שם משפחה
 
 .",2
"איך יכול להיגרם נזק לחברה מגורם אנושי פנימי?
 
1.   שפיכת קפה על השרת של החברה
 
2.   כניסה למייל זדוני
 
3.   דיווח על טכנולוגיות לחברה מתחרה
 
4.   כל התשובות נכונות
 
 .",4
"בפיתוח מערכת מידע בארגון - באיזה שלב נבצע הדרכה למשתמשים?
 
1.   שלב התכנון
 
2.   שלב העיצוב
 
3.   שלב התחזוקה
 
4.   שלב היישום והטמעה
 
 .",4
"איזה מבין הבאים מתעד את בצורה מדויקת את פעילותנו באינטרנט (תיעוד של כל פעולות העכבר)?
 
1.   Bentch Consistent Hospale (dialog ditrict)
 
2.   Cycle Jam (specific)
 
3.   Object Orianted
 
4.   (Transaction log (click stream
 
 .",4
"מה מהבאים הינו סיכון אפשרי במערכת מידע
 
1.   נזק מגורם אנושי חיצוני
 
2.   נזק מגורם אנושי פנימי
 
3.   תקלות טכניות
 
4.   כל התשובות נכונות
 
 .",4
"למה צריך מערכת לניהול בסיס נתונים? (DBMS)
 
1.   לשרת מספר עורכים ומשתמשים בקובץ
 
2.   כל התשובות נכונות
 
3.   למנוע כפילויות ובלבול במידע הנתון
 
4.   ליצור אחידות לצורה בה המידע שמור
 
 .",2
"איזה מהבאים הוא תכונה של מחשב ""שמן""
 
1.   תמיד מגיע בצבע מסוים
 
2.   זכרון וכוח עיבוד גדול *
 
3.   חומרתו חייבת להיות מסוג מאוד מסוים
 
4.   ניתן להתקין עליו רק תוכנות מסוג מסוים
 
 .",2
"מה מהאפשרויות הבאות לא אפשרית?
 
1. לקוח שמן שמותקן על מחשב שמן
  
2. לקוח רזה שמותקן על מחשב רזה
  
3. לקוח רזה שמותקן על מחשב שמן
  
4. לקוח שמן שמותקן על מחשב רזה 
 .",4
"אחת מגישות אבטחת המידע היא בקרת הגישה. מה מבין הבאים אינו אמצעי לוידוא מהימנות הגישה לנתונים?
 
1.   סורק עין
 
2. כרטיס
 
3.   ציוד אל-פסק
 
4.   טביעת אצבע
 
 .",3
"המודל ההיררכי אל מול מודל הרשתי- איזה טענה נכונה?
 
1.   המודל הרשתי לא רלוונטי בימנו, וכיום אין בו שימוש כלל
 
2.   שני המודלים קלים מאוד לבנייה ולתחזוק, והם הנפוצים ביותר מבין כלל המודלים הקיימים
 
3.   המבנה הרשתי בעל מבנה לא גמיש, לעומתו המודל ההיררכי בעל מבנה גמיש
 
4.   המודל ההיררכי בנוי בצורה של אב אחד למספר בנים, לעומתו המודל הרשתי מאפשר שבן יהיה מקושר למספר אבות
 
 .",4
"ההבדל העיקרי בין ROM ל- RAM הוא:
 
1. ROM זו טכנולוגיה ישנה שלא נמצאת בשימוש
 
2. ROM הוא זכרון בלתי נדיף
 
3. ROM נמצא בממירי טלויזיה
 
4. ל- ROM יש נפח גדול יותר
 
 .",2
