rawQuestion,rawAnswer
"אחת מגישות אבטחת המידע היא בקרת הגישה. מה מבין הבאים אינו אמצעי לוידוא מהימנות הגישה לנתונים?
 
1.   ציוד אל-פסק
 
2. כרטיס
 
3.   טביעת אצבע
 
4.   סורק עין
 
 .",1
"מה מהאפשרויות הבאות לא אפשרית?
 
1. לקוח שמן שמותקן על מחשב רזה 
2. לקוח רזה שמותקן על מחשב שמן
  
3. לקוח רזה שמותקן על מחשב רזה
  
4. לקוח שמן שמותקן על מחשב שמן
  
 .",1
"בחר/י בתשובה הנכונה
 
1.   מודל 'מפל המים' הוא המודל הנפוץ ביותר כיום עקב גמישותו לשינויים
 
2.   במודל 'מפל המים' ניתן לשנות את הדרישות מהמוצר תוך כדי התהליך בקלות ובלי כל תהליך מיוחד
 
3.   פרויקט בניה מזכיר פרויקט תוכנה בהיבט הסיכוי שלו להצליח
 
4.   מודל 'מפל המים' הוא מודל מסודר, המחלק את הפרויקט לחלקים. במודל תמיד עובדים לפי הסדר ואי אפשר לעבור לשלב הבא לפני שהנוכחי נחתם ע'י הגורמים האחראיים *
 
 .",4
"למה צריך מערכת לניהול בסיס נתונים? (DBMS)
 
1.   ליצור אחידות לצורה בה המידע שמור
 
2.   לשרת מספר עורכים ומשתמשים בקובץ
 
3.   כל התשובות נכונות
 
4.   למנוע כפילויות ובלבול במידע הנתון
 
 .",3
"תומר חווה ילדות קשה מאוד, כשכל חבריו לכיתה לעגו לו על כך שהוא חסר פיגמנטים. כעת, כשהוא איש חכם מאוד ויש לו עסק משלו, הוא מעוניין להקים רשת חברתית עבור אנשים לבקנים שיוכלו לשתף אחד את השני בחוויות הקשות שלהם. כיצד היית מגדיר את האתר שתומר יקים?
 
1.   Market creator
 
2.   Service provider
 
3.   Community provider
 
4.   Transaction broker
 
 .",3
"פרויקטים של פיתוח תוכנה נכשלים בשכיחות גבוהה, מדוע?
 
1.   חוסר יציבות של דרישות המשתמשים
 
2.   מהירות השינויים הטכנולוגיים
 
3.   כל התשובות נכונות
 
4.   תוכנה אינה מוצר מוחשי
 
 .",3
"מהי ההגדרה של TCO?
 
1.   כלל העלויות הכרוכות בהטמעת המערכת בארגון
 
2.   כלל ההכנסות בעקבות הטמעת הארגון
 
3.   כלל ההחזר על ההשקעה במערכת
 
4.   כלל התועלת מהטמעת המערכת בחברה
 
 .",1
"דנה רוצה להבטיח מקסימום הגנה למערכות המידע בחברה אותה היא מנהלת. היא החליטה לנקוט בכמה צעדים אשר יתרמו לכך. אילו מבין הצעדים הבאים פחות רלוונטי בשביל להגן על מערכות המידע?
 
1.   אבטחת נתונים- הצפנה ופענוח, מפתח סימטרי, מפתח ציבורי/פרטי, ניטור מסדי הנתונים
 
2.   אבטחת תוכנה- אנטי וירוס, ניהול SPAM
 
3.   אבטחה אישית- ליווי צמוד של הבכירים לביתם בסוף יום העבודה, הכשרת העובדים להסתובב עם נשק
 
4.   אבטחה פיזית- גיבוי, מיגון מפני אש, גדרות, אזעקות, מנעולים
 
 .",3
"מה מהבאים נכון לגבי DBMS?
 
1.    מאפשרת כתיבה וקריאה מבסיס הנתונים (ע""פ הגדרת המתכנת)
  
2.    מספקת שירותי נתונים למספר רב של יישומים שונים בו זמנית
  
3.    מערכת תוכנה המנהלת בסיס נתונים
  
4.    כל התשובות נכונות
  
 .",4
"איזה מבין המשפטים הבאים נכון?
 
1. מידע הוא אוסף של נתונים, וידע הוא המשמעות שהמידע מקבל על ידי האדם.
 
2. חשוב שלמכונה יהיה ידע, על מנת שנוכל להיעזר בה בתהליכי קבלת החלטות.
 
3. חוכמה היא היכולת לקבל החלטה בעזרתה של מכונה.
 
4. מידע הוא הצגת נתונים מסוימים בצורה אקראית.
 
 .",1
