Question,Answer
"מהי מערכת המלצה?
 
1.   מסייעת למשתמשים על ידי מתן הצעות למוצרים או תוכן שעשויים להיות מעניינים עבורם
 
2.   מערכת המסייעת לארגון יעיל של זכרון המחשב
 
3.   מערכת המנפיקה הצעות ייעול לתפקוד המחשב
 
4.   מערכת הממליצה למחשב באיזה סוג פרוטוקול להשתמש
 
 .",1
"דנה רוצה להבטיח מקסימום הגנה למערכות המידע בחברה אותה היא מנהלת. היא החליטה לנקוט בכמה צעדים אשר יתרמו לכך. אילו מבין הצעדים הבאים פחות רלוונטי בשביל להגן על מערכות המידע?
 
1.   אבטחה אישית- ליווי צמוד של הבכירים לביתם בסוף יום העבודה, הכשרת העובדים להסתובב עם נשק
 
2.   אבטחת תוכנה- אנטי וירוס, ניהול SPAM
 
3.   אבטחה פיזית- גיבוי, מיגון מפני אש, גדרות, אזעקות, מנעולים
 
4.   אבטחת נתונים- הצפנה ופענוח, מפתח סימטרי, מפתח ציבורי/פרטי, ניטור מסדי הנתונים
 
 .",1
"בנק מרכזי בעל סניפים רבים ושוק לקוחות רחב יתחזק בד""כ:
 
1.   אתר לוהט
 
2.   אתר חם
 
3.   אתר קר
 
4.   אתר פושר
 
 .",3
"מהו ההבדל העיקרי בין מודל עיסקי B2B לB2C? סמן את התשובה הנכונה ביותר
 
1.   קהל היעד של הראשון הוא לעסקים ואילו לשני הוא ספקים
 
2.   מודל ההכנסות של הראשון מבוסס על הכנסות ממכירות ושל השני ממודל דמי-פרימיום
 
3.   הראשון הוא בין עסק לעסק ואילו השני בין עסק לצרכן
 
4.   כל התשובות נכונות
 
 .",2
"בחר/י בתשובה הנכונה
 
1.   במודל 'מפל המים' ניתן לשנות את הדרישות מהמוצר תוך כדי התהליך בקלות ובלי כל תהליך מיוחד
 
2.   מודל 'מפל המים' הוא מודל מסודר, המחלק את הפרויקט לחלקים. במודל תמיד עובדים לפי הסדר ואי אפשר לעבור לשלב הבא לפני שהנוכחי נחתם ע'י הגורמים האחראיים *
 
3.   מודל 'מפל המים' הוא המודל הנפוץ ביותר כיום עקב גמישותו לשינויים
 
4.   פרויקט בניה מזכיר פרויקט תוכנה בהיבט הסיכוי שלו להצליח
 
 .",3
"יוסי מנהל החברה עוקב אחר עובדיו בעזרת המודל הרלציוני, אשר המפתח הראשי בו הוא השם הפרטי ושם המשפחה של העוב לשניים מעובדיו קוראים דני כהן, מה הכי יעיל ליוסי?
 
1.   להפוך את העמודה של השם לעמודת מפתח זר, וכך יוכל לקרוא פרטים נוספים ולהבדיל ביניהם
 
2.   לפטר את אחד הדנים וכך לחסוך עבודה רבה והתבלבלויות שיוצרות חוסר נעימות
 
3.   יוסי יכול להוסיף עמודה של מספר סידורי ולקבוע אותה כעמודת מפתח ראשי, כך יבדיל בין דני אחד לאחר
 
4.   לעבור לשיטת המודל ההיררכי וליצור לכל דני תקייה נפרדת, כך לא יתבלבל ביניהם
 
 .",2
"אתה מנכ""ל חברה מצליחה למחשבים, אילו מהבאים לא הייתה מחשיב בתור תועלת מוחשית לחברה?
 
1.   מספר המכירות גדלו ביחס לרבעון הקודם
 
2.   נמכר פי 2 מהמלאי מתחילת השנה ביחס לשנה שעברה
 
3.   העובדים מרוצים ושמחים יותר לבוא לעבוד
 
4.   הביאו מכונה חדשה שעושה עבודה שדרשה שלושה עובדים בעבר
 
 .",3
"איזה מהבאים הוא תכונה של מחשב ""שמן""
 
1.   תמיד מגיע בצבע מסוים
 
2.   ניתן להתקין עליו רק תוכנות מסוג מסוים
 
3.   זכרון וכוח עיבוד גדול *
 
4.   חומרתו חייבת להיות מסוג מאוד מסוים
 
 .",3
"מבנה ארגוני שטוח הוא:
 
1. מודל שבו אין הרבה מנהלים/ות בחברה
 
2. מודל שבו מערכות המידע בחברה רזות
 
3. מודל שבו אין הרבה עובדים/ות בחברה
 
4. מודל שבו אין מנמ""ר בחברה
 
 .",2
"ירדן פתחה חברה חדשה, וכרגע היא נמצאת בפיתוח אמצעי אבטחת התקשורת והאינטרנט. ירדן מאוד חוששת שמתחריה בסינגפור ינסו להיכנס לתקשורת שלה ולפגוע בה. באיזה כלי יכולה ירדן להשתמש על מנת להסיר את החשש מליבה?
 
1.   וידוא זהות- בעזרת סיסמאות, כרטיסים, טביעות אצבע ועוד ירדן תגן על התקשורת באופן מוחלט
 
2.   אין לירדן מה לעשות חוץ מלהתפלל
 
3.   גדרות ומנעולים- ירדן תבנה אבטחה פיזית שתמנע מהסינגפורים לחדור לתקשורת שלה
 
4.   FIREWALL- ירדן צריכה להגדיר בחומת האש שהיא רוצה למנוע כניסת תקשורת מסינגפור
 
 .",3
